"link","phi","alpha","kappa","true_ate","existing","proposed"
"logit",0.3,0.3,0.3,0.500430565223587,0.51861012075824,1.91743054281281
"logit",0.4,0.3,0.3,0.507058315247484,0.656984466272661,-0.20354105666796
"logit",0.5,0.3,0.3,0.498224190539308,0.669862488273793,1.43750948212791
"logit",0.6,0.3,0.3,0.507585398579249,0.662794549240061,1.80181790331156
"logit",0.7,0.3,0.3,0.499617018423625,0.598626656636952,0.730191110196651
"logit",0.8,0.3,0.3,0.497848967754259,0.570176752404222,-0.901350903662912
"logit",0.9,0.3,0.3,0.514362594737508,0.736308261384693,1.90675389125141
"logit",1,0.3,0.3,0.506464541973942,0.688632677701662,0.252689187741535
"logit",0.3,0.4,0.3,0.493323441022495,0.47404914850631,-0.776230610262579
"logit",0.4,0.4,0.3,0.500221621655277,0.742027736038835,1.22387138835633
"logit",0.5,0.4,0.3,0.501027165726735,0.705560193073325,0.0262064162532947
"logit",0.6,0.4,0.3,0.505880691000423,0.691798634597944,0.68542689830629
"logit",0.7,0.4,0.3,0.50514315719374,0.756295922543359,2.99955308552778
"logit",0.8,0.4,0.3,0.504558414654108,0.633261440307251,0.0624088549907305
"logit",0.9,0.4,0.3,0.493874819126446,0.585604121588403,1.11847482990954
"logit",1,0.4,0.3,0.504766812962294,0.787433926365338,0.483438262651824
"logit",0.3,0.5,0.3,0.496676934099314,0.431369661633653,0.6998302068202
"logit",0.4,0.5,0.3,0.50500330483201,0.647356458661307,0.130385001609555
"logit",0.5,0.5,0.3,0.494880141845369,0.838532658490294,1.02814731867621
"logit",0.6,0.5,0.3,0.482805092567112,0.759019912438816,0.264577505217017
"logit",0.7,0.5,0.3,0.508112725865236,0.795072191987856,0.815331020788147
"logit",0.8,0.5,0.3,0.496748674716079,0.886147730832818,1.47652376827197
"logit",0.9,0.5,0.3,0.494294410983636,0.809036338981969,0.200195311612162
"logit",1,0.5,0.3,0.500270778257563,0.787938328366181,0.64393177394853
"logit",0.3,0.6,0.3,0.510437184438528,0.725340142729692,0.0359156602692978
"logit",0.4,0.6,0.3,0.497193416036991,0.436509458269938,-1.09477835632483
"logit",0.5,0.6,0.3,0.491175615565293,0.740152350481367,0.319369565515415
"logit",0.6,0.6,0.3,0.505654755175742,0.813448301065364,0.373403446258849
"logit",0.7,0.6,0.3,0.498161003442016,0.832409815167011,1.68123672635265
"logit",0.8,0.6,0.3,0.504833018623642,0.862895057007336,-0.993638677243438
"logit",0.9,0.6,0.3,0.498252312154928,0.874249258602504,1.99811613086355
"logit",1,0.6,0.3,0.501609660004755,0.882483676458605,1.76349373139499
"logit",0.3,0.7,0.3,0.498824217862729,0.701930727194849,0.705910901540865
"logit",0.4,0.7,0.3,0.487935197988036,0.840625211485531,0.756313804834009
"logit",0.5,0.7,0.3,0.514690597583027,0.909604964046594,0.794532204292995
"logit",0.6,0.7,0.3,0.51342070043101,0.804770214057498,0.744422548362234
"logit",0.7,0.7,0.3,0.493194169096043,0.902250117844233,1.39746497896012
"logit",0.8,0.7,0.3,0.492676141776564,1.06577803316395,2.1174838355667
"logit",0.9,0.7,0.3,0.50524403439539,0.836232850157103,0.0107709696161016
"logit",1,0.7,0.3,0.49733678512394,1.05329426188473,1.14753358623044
"logit",0.3,0.8,0.3,0.51223108811425,0.776431498135935,0.924720907472534
"logit",0.4,0.8,0.3,0.493884186183452,0.661928298759449,0.807621980355982
"logit",0.5,0.8,0.3,0.489744611798553,0.726243854356653,1.00604117765813
"logit",0.6,0.8,0.3,0.487259207067173,0.782330529476894,1.04951368933122
"logit",0.7,0.8,0.3,0.488801929933787,0.891024488097173,2.1748191603443
"logit",0.8,0.8,0.3,0.478708377461764,0.970654318805828,0.155237981182487
"logit",0.9,0.8,0.3,0.503545759176882,1.16601346506104,0.749125819506685
"logit",1,0.8,0.3,0.508616071802448,1.13553136123301,0.800012507006095
"logit",0.3,0.9,0.3,0.488185327320197,0.76083423684031,0.653689031958581
"logit",0.4,0.9,0.3,0.496108126979601,0.785494175321219,-0.0171638951613102
"logit",0.5,0.9,0.3,0.493569349460653,0.658432847909353,0.869952798637757
"logit",0.6,0.9,0.3,0.503581115449499,1.05150711209899,0.951594057573219
"logit",0.7,0.9,0.3,0.496767513786838,1.03929152584442,1.65418212212808
"logit",0.8,0.9,0.3,0.501000322374539,0.649194063333198,1.47804242685572
"logit",0.9,0.9,0.3,0.494271290892013,0.958492848340939,0.614740166218111
"logit",1,0.9,0.3,0.488507305019116,1.19209544295154,1.93901406232722
"logit",0.3,1,0.3,0.509396171851852,0.829332643679663,0.323962004861037
"logit",0.4,1,0.3,0.491326108756126,1.1134606134201,0.437107232816178
"logit",0.5,1,0.3,0.481056030468806,1.03220636648621,1.88774064220595
"logit",0.6,1,0.3,0.512044957548683,0.781793752048543,0.146430506257415
"logit",0.7,1,0.3,0.49789438946892,0.996291439748347,1.09951424829523
"logit",0.8,1,0.3,0.505864852013486,1.0619420737421,1.43611511661378
"logit",0.9,1,0.3,0.497640332049131,1.12352310116967,0.643503834200262
"logit",1,1,0.3,0.483188038841635,1.11090174836045,0.358044264051782
"logit",0.3,0.3,0.4,0.502528438127134,0.740258547604753,0.974383372322651
"logit",0.4,0.3,0.4,0.488723724721745,0.419600890312722,0.62809325309328
"logit",0.5,0.3,0.4,0.493022608187934,0.585230974098522,-0.212810838364616
"logit",0.6,0.3,0.4,0.492289071540348,0.822139083356888,-0.294837389853696
"logit",0.7,0.3,0.4,0.476844554542541,0.769850975162626,0.13463430741513
"logit",0.8,0.3,0.4,0.509828656830266,0.793022140434914,2.00850649117166
"logit",0.9,0.3,0.4,0.496636728006974,0.674572852050005,-0.357877577557738
"logit",1,0.3,0.4,0.487316071136855,0.59079508560535,-0.30962227353866
"logit",0.3,0.4,0.4,0.498574606300192,0.751491786175393,-0.405705408828145
"logit",0.4,0.4,0.4,0.518581874535815,0.720615526306574,0.0579688494186008
"logit",0.5,0.4,0.4,0.512842652213527,0.807598422710726,-0.244087602471922
"logit",0.6,0.4,0.4,0.47578817664336,0.603603321652372,0.384909588136642
"logit",0.7,0.4,0.4,0.481562422041898,0.77107437378254,0.388573611541421
"logit",0.8,0.4,0.4,0.506518617997342,0.730927091375634,0.768842873800367
"logit",0.9,0.4,0.4,0.509318195566093,0.660352863837034,1.63995144827043
"logit",1,0.4,0.4,0.504031571600516,0.795067936742271,-0.524486640699704
"logit",0.3,0.5,0.4,0.515947268623137,0.690312192920828,0.458633744574451
"logit",0.4,0.5,0.4,0.498985300216801,0.834607302442237,0.653975239259946
"logit",0.5,0.5,0.4,0.499563116686372,0.63345364531051,0.139226141074668
"logit",0.6,0.5,0.4,0.506033411841234,0.825835961655685,-0.499066729595322
"logit",0.7,0.5,0.4,0.509716519799968,0.568148650429293,0.736794605537233
"logit",0.8,0.5,0.4,0.501158370622317,0.968073167856346,0.85024320051982
"logit",0.9,0.5,0.4,0.510461275464064,0.783879738199175,0.387997464058015
"logit",1,0.5,0.4,0.493941622846061,0.773612037050043,2.13628448933612
"logit",0.3,0.6,0.4,0.500859234359302,0.682424803507217,1.83318098172646
"logit",0.4,0.6,0.4,0.501857788753905,0.538739523235563,-0.14312794573704
"logit",0.5,0.6,0.4,0.502883661232167,0.718596304230232,0.232741329743359
"logit",0.6,0.6,0.4,0.501729699173593,0.784123516309592,-0.508144348344212
"logit",0.7,0.6,0.4,0.51939405454779,0.674981734384346,0.898786624788036
"logit",0.8,0.6,0.4,0.496820755023952,0.86417875413008,1.13617812753929
"logit",0.9,0.6,0.4,0.493726134694577,0.976898412619448,0.62747237611643
"logit",1,0.6,0.4,0.504656691370183,0.869332637921616,1.30429559905117
"logit",0.3,0.7,0.4,0.507415087529551,0.70736783205939,1.79007196607409
"logit",0.4,0.7,0.4,0.486820367792621,0.763719757407671,0.437919642476575
"logit",0.5,0.7,0.4,0.510225767352176,0.580282020222512,0.527313974878285
"logit",0.6,0.7,0.4,0.500510556589812,0.759766996427061,0.139060454754645
"logit",0.7,0.7,0.4,0.501854192780145,1.04512386691931,0.996538891030379
"logit",0.8,0.7,0.4,0.495725087440014,0.798526742666581,0.562907895162281
"logit",0.9,0.7,0.4,0.50171581775716,1.11917643832567,1.29167992211422
"logit",1,0.7,0.4,0.495348100031982,1.13228201153152,-0.167897880488155
"logit",0.3,0.8,0.4,0.514892904695612,0.621897674510365,0.329310374536795
"logit",0.4,0.8,0.4,0.481066178624914,0.8155034103238,-0.843588167433825
"logit",0.5,0.8,0.4,0.514972749532294,0.657766764386906,0.145521304755003
"logit",0.6,0.8,0.4,0.494939457973512,1.16590484154403,1.43989923194406
"logit",0.7,0.8,0.4,0.497168455640785,1.04382442881433,-1.45747189294776
"logit",0.8,0.8,0.4,0.502677260275395,1.01736861265999,1.03407065126801
"logit",0.9,0.8,0.4,0.505405302837957,0.909814178372471,0.673197209776794
"logit",1,0.8,0.4,0.50224939307319,0.950816958433279,-0.206282742883575
"logit",0.3,0.9,0.4,0.502863936460135,0.587907379784156,0.121425215711101
"logit",0.4,0.9,0.4,0.482779512524023,0.916180912359323,-0.617075041964555
"logit",0.5,0.9,0.4,0.518710840911069,0.920734759572952,-0.281888519232354
"logit",0.6,0.9,0.4,0.514397381075751,1.08806679027788,0.00612810497599359
"logit",0.7,0.9,0.4,0.508738302947697,0.821173802674821,0.999027489969721
"logit",0.8,0.9,0.4,0.509963037416316,0.957787983701564,1.06622899050066
"logit",0.9,0.9,0.4,0.494791589311697,1.08827836568889,0.724779798365256
"logit",1,0.9,0.4,0.497079841334838,1.03474922821806,-0.0977825716090226
"logit",0.3,1,0.4,0.494519474944845,0.809082363337438,0.128770468994774
"logit",0.4,1,0.4,0.496307037116145,0.87198383809573,1.35778188581805
"logit",0.5,1,0.4,0.504078258324694,0.691788837772037,0.359728895635117
"logit",0.6,1,0.4,0.496516998418816,1.19083324760868,-0.0805551540153643
"logit",0.7,1,0.4,0.502974800883071,1.31280216261439,2.48393732703331
"logit",0.8,1,0.4,0.503217993062292,1.11159018995022,0.361368020626148
"logit",0.9,1,0.4,0.50220486222303,1.18419472463211,0.212068960773533
"logit",1,1,0.4,0.509944113623584,1.075269159046,-0.372912303098962
"logit",0.3,0.3,0.5,0.494245000114082,0.490554522377352,0.840223937821859
"logit",0.4,0.3,0.5,0.474176870193402,0.555089178592425,0.116093607738122
"logit",0.5,0.3,0.5,0.48871123444892,0.646888457772548,-0.0513631702387449
"logit",0.6,0.3,0.5,0.491506146614067,0.549933203164983,0.912390229246688
"logit",0.7,0.3,0.5,0.496143491716473,0.538708627331289,-0.910427649636577
"logit",0.8,0.3,0.5,0.503828939615423,0.856858628626469,1.11012887968343
"logit",0.9,0.3,0.5,0.506534077361878,0.515297914209441,0.16068042050187
"logit",1,0.3,0.5,0.493784451718675,0.719684962354222,-0.112980443959614
"logit",0.3,0.4,0.5,0.503156616365165,0.76356160179057,1.16477740724255
"logit",0.4,0.4,0.5,0.509946987239481,0.575977157195666,0.977051960306004
"logit",0.5,0.4,0.5,0.490722242138628,0.264495314562737,0.433265673133312
"logit",0.6,0.4,0.5,0.501646574006299,0.7274841600738,0.233102465547385
"logit",0.7,0.4,0.5,0.507546888558893,0.633886683801393,1.58225318332213
"logit",0.8,0.4,0.5,0.50252690755683,0.607840829245106,0.904839656127757
"logit",0.9,0.4,0.5,0.484250506030116,0.745511088642616,0.236323464496385
"logit",1,0.4,0.5,0.506574597778427,0.784168822131505,1.13566067485567
"logit",0.3,0.5,0.5,0.496132303134538,0.556119849356037,-0.190032022596506
"logit",0.4,0.5,0.5,0.515991735346848,0.599326371091593,1.39821061991234
"logit",0.5,0.5,0.5,0.518709320292133,0.948297647319123,0.513904853826419
"logit",0.6,0.5,0.5,0.488103595144814,0.379785395366525,0.986027055631767
"logit",0.7,0.5,0.5,0.49955075709587,0.655757137526052,0.410687256148546
"logit",0.8,0.5,0.5,0.495524021379696,0.688261276902267,-1.01045322295981
"logit",0.9,0.5,0.5,0.502428074495145,0.811543900505058,0.959340339758629
"logit",1,0.5,0.5,0.486643164792308,0.86945922976156,0.00455810884086638
"logit",0.3,0.6,0.5,0.489965382002806,0.564756343039335,1.28866143756867
"logit",0.4,0.6,0.5,0.479490991073591,0.778519446237624,0.579712506828848
"logit",0.5,0.6,0.5,0.500607427452109,0.613818850761163,1.99439918771652
"logit",0.6,0.6,0.5,0.48905579922148,0.812885228071536,0.165255162787218
"logit",0.7,0.6,0.5,0.499860919460165,0.697175767596491,-0.341766850339732
"logit",0.8,0.6,0.5,0.496933106190455,0.999270476859238,-0.000145253056709707
"logit",0.9,0.6,0.5,0.495234531171503,0.969934689188449,2.1965972158547
"logit",1,0.6,0.5,0.500713020911068,0.782179251633352,-0.176953700078025
"logit",0.3,0.7,0.5,0.511803118717321,0.723035031063773,1.44886404475108
"logit",0.4,0.7,0.5,0.510552610633848,0.826056695095758,0.826516022536961
"logit",0.5,0.7,0.5,0.500016055992362,0.857711509685032,0.437257010972915
"logit",0.6,0.7,0.5,0.500782198389852,0.707321939711619,0.17152439764751
"logit",0.7,0.7,0.5,0.5126517880145,0.883574142037105,0.324841908952256
"logit",0.8,0.7,0.5,0.490266726457118,0.985555268205644,-0.0352092672483966
